canonical_smiles,standard_value
Cc1cccc(Nc2ncc([N+](=O)[O-])c(Nc3ccc4nc[nH]c4c3)n2)c1,3.2
Cc1c(COc2cc(OCc3ccnc(C#N)c3)c(CNCCO)cc2Cl)cccc1-n1cccc1,4.3
Cc1[nH]c2ccc(Cl)cc2c(=O)c1-c1ccccc1,2.43
COc1ccc(N2C(=O)C(C)(C)C2c2ccc(F)cc2)cc1,3.4
CCOP(=O)(OCC)C(N(OC(C)c1n(C)cc[n+]1C)C(C)(C)C)C(C)(C)C,0.15
CCP(=O)(OC)c1ccc2nc(-c3ccc4c(c3)OC(F)(F)O4)oc2c1,3.6
COC(=O)CC[C@@H](NC(=O)c1ccc2c(c1)/C(=C/c1[nH]c(C)c(C(=O)N[C@H](CCC(=O)OC)C(=O)OC)c1C)C(=O)N2)C(=O)OC,3.36
CCCC[C@H](O[C@@H](Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](C(=O)NCCNc1n[nH]c(N)n1)C(C)C,4.0
Nc1ccncc1C(=O)N[C@H]1c2ccccc2C[C@@H]1NC(=O)c1cc2c(F)cc(F)cc2[nH]1,3.1
NC(=O)c1cc(NC(=O)c2cc(-c3cccc(N)n3)ccc2Cl)n(-c2ccccc2)n1,2.3
COc1ccc(Oc2ccc3nc(COc4cccc(C(=O)O)c4)n(C)c3c2)c(C)n1,1.7
Cc1[nH]c2cc(Cl)c(Cl)cc2c(=O)c1-c1ccccc1,3.05
COc1nc(OCc2cccc(-c3ccccc3)c2C)ccc1CNCCNC(C)=O,3.33
COc1cc2c(Nc3cnc(NC(=O)c4cccn4C)nc3)ncnc2cc1OCCCNC1CCCC1,1.8
COCCN1C(=O)c2cc(-c3nc(Nc4ccnn4C)ncc3C)[nH]c2C[C@H]1C,2.14
Cc1cc(COc2ccc(F)cc2)nc(-c2ccccn2)n1,3.0
O=C(c1ccncn1)N1CCC2(CCN(Cc3cccc(Oc4ccccc4)c3)CC2)CC1,2.4
CN(C(=O)C(Cc1ccccc1F)CN1CCC2(CC1)OCCc1cc(F)sc12)C1CC1,4.77
COc1ccc(Cn2c(=O)[nH]c3c(N)nc(C(F)(F)F)cc32)cn1,2.8
CCN(C(=O)N(CCCl)N=O)C1CCCCC1,1.38
CN(C)c1ccc(-c2nc3ccc([125I])cc3o2)cc1,2.09
